"trial","ref_position","var_area","response","correct","rt"
1,"R",11.1815673292149,"L",TRUE,3.4210000038147
2,"L",13.9784569498152,"R",TRUE,1.2960000038147
3,"L",11.4889323713724,"R",TRUE,1.09799981117249
4,"R",14.2656800842378,"L",TRUE,1.09899997711182
5,"R",11.5469196068589,"R",FALSE,1.09599995613098
6,"R",10.4633561056107,"R",FALSE,0.891999959945679
7,"R",8.18028453597799,"R",TRUE,0.89900016784668
8,"L",8.32245737710036,"R",FALSE,0.895999908447266
9,"R",11.6571564935148,"L",TRUE,1.39800000190735
10,"R",8.45831672102213,"R",TRUE,1.00300002098083
11,"L",14.4574229610153,"R",TRUE,0.889000177383423
12,"L",9.1405514664948,"R",TRUE,0.894000053405762
13,"R",11.7311301818117,"L",TRUE,1.40100002288818
14,"L",10.7465151834767,"R",TRUE,0.996000051498413
15,"R",9.3932089896407,"R",FALSE,1.09899997711182
16,"L",12.1731811079662,"R",TRUE,0.895999908447266
17,"L",10.0709826068487,"R",TRUE,0.793999910354614
18,"R",8.80371206346899,"R",TRUE,0.997999906539917
19,"R",13.7792704983149,"L",TRUE,0.894000053405762
20,"L",8.83559430250898,"R",FALSE,1.49699997901917
21,"R",12.2625188783277,"L",TRUE,0.796999931335449
22,"L",8.58844109484926,"R",FALSE,1.80299997329712
23,"L",14.7290810018312,"R",TRUE,0.894000053405762
24,"R",9.88126279274002,"R",FALSE,1.70099997520447
25,"L",11.5734486549627,"R",TRUE,0.900000095367432
26,"L",8.26825864380226,"R",FALSE,0.89300012588501
27,"L",10.5226317779161,"R",TRUE,1.09800004959106
28,"R",10.7555379359983,"R",FALSE,0.995000123977661
29,"R",10.8895432404242,"R",FALSE,2.11400008201599
30,"R",14.2455923694652,"L",TRUE,1.20300006866455